,it,dataset,treated_groups,lift_size,reference_value,model,true_ate,estimated_ate,estimated_std,ci,estimated_lower_bound,estimated_upper_bound,simulation_date
623,3.0,nifty50_stock_market,NTPC_TATAMOTORS_SUNPHARMA_TATASTEEL_TCS_HCLTECH_ADANIPORTS_BAJAJFINSV_GRASIM_KOTAKBANK_HDFCBANK_HDFC_INFY_SHREECEM_ITC_IOC_WIPRO_ONGC,0.7359793331443306,94897.3292336088,DifferenceInDifferencesEstimator,40232.3182961088,42301.48118932964,1415.296780238017,0.9,39992.8563497999,44604.31215379238,2024-08-01
624,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,SLearner,3397.5060858623888,3175.09610942973,37.27276721922241,0.9,3081.5871279745384,3202.985266021532,2024-08-01
625,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,TLearner,3397.5060858623888,3168.1516379042787,49.59553232409537,0.9,3099.64384033637,3261.162918886336,2024-08-01
626,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,DoublyRobustEstimator,3397.5060858623888,3173.965185127094,35.473785524645244,0.9,3083.8106523311844,3204.896934130495,2024-08-01
627,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,DoWhyEstimator,3397.5060858623888,2953.5607733623888,237.65557152623265,0.9,3838.488267724726,4550.66261530355,2024-08-01
628,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,SyntheticControlEstimator,3397.5060858623888,3403.7175901338346,17.511770702863238,0.9,3376.1673992573888,3432.943576539448,2024-08-01
629,4.0,nifty50_stock_market,KOTAKBANK_ASIANPAINT_EICHERMOT_IOC,0.4897514544992859,10334.710773362389,DifferenceInDifferencesEstimator,3397.5060858623888,3111.9801538603697,105.59614753093176,0.9,2937.298336055961,3285.6930076954336,2024-08-01
630,5.0,nifty50_stock_market,BAJAJAUTO_HINDALCO_SUNPHARMA_HDFC_ULTRACEMCO_GAIL_GRASIM_HEROMOTOCO_TECHM_BHARTIARTL_BAJFINANCE_SHREECEM_COALINDIA_POWERGRID_HINDUNILVR_RELIANCE_MARUTI,0.2253408771555074,79855.68897185352,SLearner,14685.506159353528,15574.119358472404,349.4853689272211,0.9,14408.601866790295,15516.434106854753,2024-08-01
631,5.0,nifty50_stock_market,BAJAJAUTO_HINDALCO_SUNPHARMA_HDFC_ULTRACEMCO_GAIL_GRASIM_HEROMOTOCO_TECHM_BHARTIARTL_BAJFINANCE_SHREECEM_COALINDIA_POWERGRID_HINDUNILVR_RELIANCE_MARUTI,0.2253408771555074,79855.68897185352,TLearner,14685.506159353528,15511.449442107942,611.7098316155651,0.9,14718.764271260528,16640.901349921714,2024-08-01
632,5.0,nifty50_stock_market,BAJAJAUTO_HINDALCO_SUNPHARMA_HDFC_ULTRACEMCO_GAIL_GRASIM_HEROMOTOCO_TECHM_BHARTIARTL_BAJFINANCE_SHREECEM_COALINDIA_POWERGRID_HINDUNILVR_RELIANCE_MARUTI,0.2253408771555074,79855.68897185352,DoublyRobustEstimator,14685.506159353528,15586.762501265292,294.7220336092354,0.9,14517.987456056824,15462.940334747804,2024-08-01
